Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
France,369,2020-04-30,2020-04,318.51185553944504,0.5890238730847889,46.227638,2.213749,2.56702636615906,Apr
Germany,76,2020-04-30,2020-04,358.1546019133147,0.3583468468003982,51.165691,10.451526,1.8808135922807914,Apr
Greece,13,2020-04-30,2020-04,361.3927440281483,0.16609575433527013,39.074208,21.824312,1.1139433523068367,Apr
Hungary,31,2020-04-30,2020-04,363.50549241054205,0.17669135794032043,47.162494,19.503304,1.4913616938342726,Apr
Ireland,241,2020-04-30,2020-04,286.2429335300739,0.5849062495936568,53.41291,-8.24389,2.3820170425748683,Apr
Italy,458,2020-04-30,2020-04,333.74634616159983,0.339020769987227,41.87194,12.56738,2.660865478003869,Apr
Latvia,8,2020-04-30,2020-04,328.80500088395746,0.2991172411446941,56.879635,24.603189,0.9030899869919435,Apr
Lithuania,17,2020-04-30,2020-04,323.32649850212925,0.35094694961208245,55.169438,23.881275,1.2304489213782739,Apr
Luxembourg,142,2020-04-30,2020-04,334.18582916259766,0.5045833364129066,49.815273,6.129583,2.1522883443830563,Apr
Malta,9,2020-04-30,2020-04,362.15374755859375,0.05250000022351742,35.937496,14.375416,0.9542425094393249,Apr
Moldova,27,2020-04-30,2020-04,323.46255965459915,0.256910714099095,47.411631,28.369885,1.4313637641589874,Apr
Montenegro,11,2020-04-30,2020-04,345.5680378505162,0.15469642861613206,42.708678,19.374389999999998,1.041392685158225,Apr
Netherlands,275,2020-04-30,2020-04,347.7609105543657,0.4178409100594846,52.132633,5.291266,2.439332693830263,Apr
North_Macedonia,35,2020-04-30,2020-04,360.2357556892164,0.15469696959762863,41.62,21.719,1.5440680443502757,Apr
Norway,38,2020-04-30,2020-04,345.03402642156055,0.3262070183297499,60.472024,8.468946,1.5797835966168101,Apr
Poland,16,2020-04-30,2020-04,363.74072313255556,0.20162318801297624,51.919438,19.145136,1.2041199826559248,Apr
Portugal,95,2020-04-30,2020-04,245.36750977903932,0.8050036631224357,39.399872,-8.224454,1.9777236052888478,Apr
Romania,36,2020-04-30,2020-04,341.64977067749186,0.21278947355494648,45.943161,24.96676,1.5563025007672873,Apr
Serbia,20,2020-04-30,2020-04,356.2323532104492,0.14791911813047,44.016521,21.005859,1.3010299956639813,Apr
Slovakia,4,2020-04-30,2020-04,358.60179038669753,0.19985326103683884,48.669026,19.699024,0.6020599913279624,Apr
Slovenia,43,2020-04-30,2020-04,364.890384771885,0.13132051278192264,46.151241,14.995463,1.6334684555795866,Apr
Spain,519,2020-04-30,2020-04,269.5402829118117,0.798999342226213,40.463667,-3.74922,2.7151673578484576,Apr
Sweden,244,2020-04-30,2020-04,361.8461517547394,0.28154265732875655,60.128161,18.643501,2.3873898263387296,Apr
Switzerland,198,2020-04-30,2020-04,345.6449303097195,0.5092986116392745,46.818188,8.227512,2.296665190261531,Apr
UK,384,2020-04-30,2020-04,319.4388084929453,0.4907760182297248,55.378051,-3.435973,2.584331224367531,Apr
Ukraine,6,2020-04-30,2020-04,284.0458374553257,0.4553880210442003,48.379433,31.16558,0.7781512503836436,Apr
Albania,11,2020-05-31,2020-05,346.7282295227051,0.22747916704975069,41.153332,20.168331,1.041392685158225,May
Austria,74,2020-05-31,2020-05,363.5036659934304,0.21782727249982684,47.516231,14.550072,1.8692317197309762,May
Belarus,24,2020-05-31,2020-05,371.9156069195191,0.18781707343798204,53.709807,27.953389,1.380211241711606,May
Belgium,816,2020-05-31,2020-05,322.079062461853,0.5896718723233789,50.503887,4.469936,2.9116901587538613,May
